epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc,seconds
1,0.02,2.096661237264291,21.434294871794872,1.6819840591430664,39.76000000476837,39.76000000476837,107.60407948493958
2,0.04,1.9086750892492441,31.145833333333332,1.281872121810913,55.65000002861023,55.65000002861023,90.34779810905457
3,0.06000000000000001,1.795246333342332,34.553285256410255,0.9651710615158081,67.35999998092652,67.35999998092652,90.46249675750732
4,0.08,1.7093548233692462,37.46995192307692,1.079678597831726,65.31999998092651,67.35999998092652,90.44709181785583
5,0.1,1.6322282219544435,40.416666666666664,0.8329030855178833,74.5000000667572,74.5000000667572,90.53056240081787
6,0.1,1.5705644674790211,42.421875,0.7607098211288452,75.44000006675721,75.44000006675721,107.6213366985321
7,0.09987821469273991,1.5427634767996958,45.28445512820513,0.8949254552841186,71.46000008583069,75.44000006675721,90.46721124649048
8,0.09951345209673482,1.5306250575261238,45.55088141025641,0.7642270840644837,78.31000001907348,78.31000001907348,90.06822943687439
9,0.09890748929868662,1.4886905011458276,47.263621794871796,0.7394815028190613,77.11000004768371,78.31000001907348,89.8348593711853
10,0.09806327848843625,1.4879008189225809,46.82091346153846,0.7240827560424805,76.33000000953675,78.31000001907348,89.84055376052856
11,0.0969849325761915,1.4688019145757725,48.39342948717949,0.6461439234733581,80.81999997138978,80.81999997138978,89.78098964691162
12,0.09567770515484184,1.476242373081354,50.94150641025641,0.7554028060913086,76.99999996185302,80.81999997138978,89.94725608825684
13,0.09414796490498206,1.4669226988767967,49.50320512820513,0.6875230496406555,80.1600000667572,80.81999997138978,89.97264623641968
14,0.09240316456734052,1.4379188516201118,49.010416666666664,0.8656013189315795,71.8499999332428,80.81999997138978,89.92891502380371
15,0.0904518046337755,1.4551197308760422,48.53365384615385,0.7027703972816467,80.21000002861022,80.81999997138978,89.95283770561218
16,0.08830339193373331,1.4067989618350298,49.89383012820513,0.624587047958374,81.68000008583068,81.68000008583068,89.92395448684692
17,0.08596839331793087,1.4079222008203849,50.32451923076923,0.5614904405593872,84.97000000953675,84.97000000953675,89.9447603225708
18,0.08345818466491112,1.3957131795394115,49.8036858974359,0.6055125823020935,81.30999996185302,84.97000000953675,89.93647456169128
19,0.08078499545890629,1.380224104722341,50.52684294871795,0.6310764430999756,84.6300000667572,84.97000000953675,90.01466012001038
20,0.07796184920902,1.3724781065415113,49.88782051282051,0.7053390996932983,80.18000007629395,84.97000000953675,90.04842805862427
21,0.0750025,1.3647723557093205,49.817708333333336,0.5569368625640869,84.43999997138977,84.97000000953675,89.95133209228516
22,0.07192136548371993,1.3763508582726502,51.74879807692308,0.6487192938804627,84.60000002861022,84.97000000953675,89.92621374130249
23,0.06873345663782854,1.3520298390816419,51.43028846153846,0.566995820426941,84.61999995231628,84.97000000953675,89.9491171836853
