epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc,seconds
1,0.02,2.09972107227032,21.334134615384617,1.7629710802078247,38.46999998569488,38.46999998569488,107.97047662734985
2,0.04,1.9020084665371821,31.25801282051282,1.106908666229248,60.22000005722046,60.22000005722046,90.83003735542297
3,0.06000000000000001,1.7891415394269503,34.631410256410255,0.9883577228546142,66.64,66.64,91.02169370651245
4,0.08,1.7072406108562763,37.63822115384615,1.0503090671539306,65.40000000953674,66.64,91.113942861557
5,0.1,1.6326027787648714,40.388621794871796,0.8328125824928284,74.20000005722046,74.20000005722046,91.20532274246216
6,0.1,1.5738450994858375,42.02524038461539,0.802772133922577,73.12000002861024,74.20000005722046,91.43214702606201
7,0.09987821469273991,1.5454279920993708,42.26161858974359,0.8029579489707946,75.33000001907348,75.33000001907348,91.61994242668152
8,0.09951345209673482,1.5191980267182374,45.17027243589744,0.76756750831604,75.38000003814697,75.38000003814697,91.58372807502747
9,0.09890748929868662,1.4782468210428188,46.97115384615385,0.8501059175491333,74.14000002861023,75.38000003814697,91.603444814682
10,0.09806327848843625,1.4970208210822864,48.37940705128205,0.7111791766166687,78.03000002861023,78.03000002861023,91.57615399360657
11,0.0969849325761915,1.4584250839856954,45.87339743589744,0.7387575823783874,79.31000005722046,79.31000005722046,91.40619611740112
12,0.09567770515484184,1.4877466320991517,48.42347756410256,0.766503042793274,79.33000006675721,79.33000006675721,91.27584528923035
13,0.09414796490498206,1.4483969553922995,46.03966346153846,0.7377273507118225,76.89000003814698,79.33000006675721,91.27553606033325
14,0.09240316456734052,1.4568788181512784,47.5380608974359,0.5764471396446228,82.67000003814697,82.67000003814697,91.30103921890259
15,0.0904518046337755,1.4400251156244523,49.953926282051285,0.6484516270637513,81.54000005722045,82.67000003814697,91.23851323127747
16,0.08830339193373331,1.4320289136507571,44.69150641025641,0.7452604139328003,77.99000003814697,82.67000003814697,91.26250624656677
17,0.08596839331793087,1.4400643205031372,51.63060897435897,0.729052813911438,80.00000001907348,82.67000003814697,91.27981185913086
18,0.08345818466491112,1.4301576062654837,47.552083333333336,0.7113242830276489,80.66000005722046,82.67000003814697,91.2923481464386
19,0.08078499545890629,1.368401638361124,49.48116987179487,0.5964842858314514,82.85000005722046,82.85000005722046,91.25609254837036
20,0.07796184920902,1.3760466785002978,50.42668269230769,0.5662090358734131,84.2999999332428,84.2999999332428,91.22419428825378
21,0.0750025,1.3909763212387378,52.838541666666664,0.4747358916759491,87.27999998092652,87.27999998092652,91.32602190971375
22,0.07192136548371993,1.3614660723087115,50.466746794871796,0.6303481761932374,84.88000007629394,87.27999998092652,91.28094816207886
23,0.06873345663782854,1.3863996968819545,49.733573717948715,0.5995123785972595,84.36999999046326,87.27999998092652,91.27838230133057
24,0.0654543046337755,1.3586479037235946,52.11338141025641,0.5556440466880799,85.93999996185303,87.27999998092652,91.25679802894592
25,0.06209988517050539,1.3446090705883809,54.44110576923077,0.5806856747627258,85.5199999332428,87.27999998092652,91.20673942565918
26,0.0586865406424582,1.3328911223472693,52.17347756410256,0.5407990485191345,87.04999998092651,87.27999998092652,91.1890242099762
27,0.05523090052106635,1.3463133613268534,52.678285256410255,0.46015708479881284,88.77,88.77,91.18596172332764
28,0.05174980033764155,1.3403036915338957,51.24198717948718,0.46808135867118833,88.18999999046326,88.77,91.16208624839783
29,0.048260199662358484,1.3111432764774713,53.31730769230769,0.5810612477302551,86.11999996185303,88.77,91.22169804573059
30,0.04477909947893368,1.3056363169963543,53.806089743589745,0.4669043645858765,88.37999999046326,88.77,91.19050765037537
31,0.04132345935754183,1.286015281921778,52.91466346153846,0.3858970935821533,89.75000002861023,89.75000002861023,91.17135953903198
32,0.03791011482949463,1.284330409612411,54.23477564102564,0.4464848742961883,89.17000000953675,89.75000002861023,91.04155898094177
33,0.03455569536622451,1.2792530379234217,53.23717948717949,0.4055864682197571,90.19000007629394,90.19000007629394,90.99114990234375
34,0.031276543362171484,1.2572070797284445,53.0869391025641,0.46791191854476927,89.14000005722046,90.19000007629394,90.94605278968811
35,0.028088634516280072,1.2545980360263433,55.33653846153846,0.42456478657722474,91.27999993324279,91.27999993324279,90.91565871238708
36,0.025007500000000012,1.2483862698078156,54.43709935897436,0.38504787063598633,91.60000008583069,91.60000008583069,90.918123960495
37,0.02204815079098002,1.2421483411238743,56.39222756410256,0.3750258624076843,92.46999999046325,92.46999999046325,90.90920805931091
38,0.019225004541093715,1.214255957114391,56.510416666666664,0.3377250660419464,93.32999999046325,93.32999999046325,90.90348935127258
39,0.0165518153350889,1.2264240778409519,54.73758012820513,0.3416297225475311,93.37999998092651,93.37999998092651,90.90849876403809
40,0.014041606682069146,1.2067741501025664,57.94471153846154,0.2916118350505829,94.05999995231629,94.05999995231629,90.97028112411499
41,0.0117066080662667,1.1638494480878878,59.29086538461539,0.3127584324359894,94.19,94.19,91.01006722450256
42,0.009558195366224508,1.1743110152391287,59.611378205128204,0.3143152467727661,94.89000003814698,94.89000003814698,90.92851567268372
43,0.007606835432659485,1.1679136412265974,56.6005608974359,0.3260576028823853,94.80000000953675,94.89000003814698,91.69672536849976
44,0.005862035095017946,1.1564370532830557,58.78405448717949,0.2905529089450836,94.88,94.89000003814698,91.54741930961609
45,0.004332294845158164,1.1151010206112495,63.723958333333336,0.2735756026744843,95.58000005722046,95.58000005722046,91.25542616844177
46,0.003025067423808514,1.1102368304362664,58.411458333333336,0.3007069120883942,95.55000007629394,95.58000005722046,91.1426751613617
47,0.001946721511563747,1.1023926241275592,59.45713141025641,0.24709880657196046,95.72000002861023,95.72000002861023,91.07489895820618
48,0.0011025107013133847,1.0974275588989257,59.529246794871796,0.2844528413772583,96.00000007629394,96.00000007629394,91.07234334945679
49,0.0004965479032651898,1.1070221787843948,61.00961538461539,0.2838448942661285,96.03000004768371,96.03000004768371,91.10133194923401
50,0.00013178530726008927,1.0628583999780508,59.61939102564103,0.2653225681781769,96.0400000667572,96.0400000667572,91.07096362113953
51,0.006005,1.113761644027172,58.80408653846154,0.2706041016578674,95.44000000953675,96.0400000667572,108.16422820091248
52,0.005816692499326621,1.1375533021413362,61.39423076923077,0.3201085283279419,95.50000001907348,96.0400000667572,90.70486807823181
53,0.005628570835421766,1.113964279492696,63.91426282051282,0.26934269194602967,95.80000001907348,96.0400000667572,91.13979935646057
54,0.005440820661655506,1.1112636749561016,60.725160256410255,0.26757626724243166,95.60000004768372,96.0400000667572,91.3539457321167
55,0.005253627264781995,1.086175750157772,60.22035256410256,0.31976665778160096,95.3200000667572,96.0400000667572,91.48200488090515
56,0.005067175382083814,1.1201697847782037,56.72876602564103,0.3581364565372467,95.29000003814697,96.0400000667572,91.60505175590515
57,0.004881649019058579,1.0926240146160127,57.82251602564103,0.28441247639656064,95.64000004768371,96.0400000667572,91.67429518699646
58,0.004697231267827729,1.1145133800995655,59.76963141025641,0.30897223110198974,95.7100000667572,96.0400000667572,91.73993349075317
59,0.0045141041264466965,1.0889892186873997,60.130208333333336,0.2890592234134674,95.67000005722046,96.0400000667572,91.79914283752441
60,0.004332448319294821,1.090614267801627,57.51201923076923,0.27161271986961366,96.01000008583068,96.0400000667572,91.92727279663086
61,0.0041524431187221905,1.0967000510448064,61.999198717948715,0.2759201277732849,96.04000007629395,96.04000007629395,91.9564483165741
62,0.003974266168129478,1.084432406608875,62.20152243589744,0.2857816237449646,96.02000003814697,96.04000007629395,92.03067684173584
63,0.0037980933066553563,1.0892171248411522,62.03725961538461,0.25956555955410004,96.08000005722046,96.08000005722046,92.11055707931519
64,0.003624098395644491,1.1032733859160007,60.30649038461539,0.24147135763168334,96.0799999332428,96.08000005722046,92.12944388389587
65,0.00345245314706739,1.093480419806945,64.26482371794872,0.2665678912639618,95.86000003814698,96.08000005722046,92.18287992477417
